week,date,game type,home,away,winner,loser
2,Sun 11 Sep 1983,season,Baltimore Colts,Denver Broncos,Denver Broncos,Baltimore Colts
2,Sun 11 Sep 1983,season,Cincinnati Bengals,Buffalo Bills,Buffalo Bills,Cincinnati Bengals
2,Sun 11 Sep 1983,season,Los Angeles Raiders,Houston Oilers,Los Angeles Raiders,Houston Oilers
2,Sun 11 Sep 1983,season,Miami Dolphins,New England Patriots,Miami Dolphins,New England Patriots
2,Sun 11 Sep 1983,season,New York Jets,Seattle Seahawks,Seattle Seahawks,New York Jets
2,Mon 12 Sep 1983,season,Kansas City Chiefs,San Diego Chargers,San Diego Chargers,Kansas City Chiefs
3,Thu 15 Sep 1983,season,Cleveland Browns,Cincinnati Bengals,Cleveland Browns,Cincinnati Bengals
3,Sun 18 Sep 1983,season,Green Bay Packers,Los Angeles Rams,Green Bay Packers,Los Angeles Rams
3,Sun 18 Sep 1983,season,Houston Oilers,Pittsburgh Steelers,Pittsburgh Steelers,Houston Oilers
3,Sun 18 Sep 1983,season,Washington Redskins,Kansas City Chiefs,Washington Redskins,Kansas City Chiefs
3,Sun 18 Sep 1983,season,Dallas Cowboys,New York Giants,Dallas Cowboys,New York Giants
3,Sun 18 Sep 1983,season,Tampa Bay Buccaneers,Minnesota Vikings,Minnesota Vikings,Tampa Bay Buccaneers
3,Sun 18 Sep 1983,season,Denver Broncos,Philadelphia Eagles,Philadelphia Eagles,Denver Broncos
3,Sun 18 Sep 1983,season,St. Louis Cardinals,San Francisco 49ers,San Francisco 49ers,St. Louis Cardinals
3,Sun 18 Sep 1983,season,New England Patriots,New York Jets,New England Patriots,New York Jets
3,Sun 18 Sep 1983,season,Seattle Seahawks,San Diego Chargers,Seattle Seahawks,San Diego Chargers
3,Sun 18 Sep 1983,season,Detroit Lions,Atlanta Falcons,Atlanta Falcons,Detroit Lions
3,Sun 18 Sep 1983,season,Buffalo Bills,Baltimore Colts,Buffalo Bills,Baltimore Colts
3,Sun 18 Sep 1983,season,New Orleans Saints,Chicago Bears,New Orleans Saints,Chicago Bears
3,Mon 19 Sep 1983,season,Los Angeles Raiders,Miami Dolphins,Los Angeles Raiders,Miami Dolphins
4,Sun 25 Sep 1983,season,San Francisco 49ers,Atlanta Falcons,San Francisco 49ers,Atlanta Falcons
4,Sun 25 Sep 1983,season,Baltimore Colts,Chicago Bears,Baltimore Colts,Chicago Bears
4,Sun 25 Sep 1983,season,Denver Broncos,Los Angeles Raiders,Los Angeles Raiders,Denver Broncos
4,Sun 25 Sep 1983,season,Seattle Seahawks,Washington Redskins,Washington Redskins,Seattle Seahawks
4,Sun 25 Sep 1983,season,Buffalo Bills,Houston Oilers,Buffalo Bills,Houston Oilers
4,Sun 25 Sep 1983,season,San Diego Chargers,Cleveland Browns,Cleveland Browns,San Diego Chargers
4,Sun 25 Sep 1983,season,Minnesota Vikings,Detroit Lions,Minnesota Vikings,Detroit Lions
4,Sun 25 Sep 1983,season,Tampa Bay Buccaneers,Cincinnati Bengals,Cincinnati Bengals,Tampa Bay Buccaneers
4,Sun 25 Sep 1983,season,Pittsburgh Steelers,New England Patriots,New England Patriots,Pittsburgh Steelers
4,Sun 25 Sep 1983,season,Philadelphia Eagles,St. Louis Cardinals,St. Louis Cardinals,Philadelphia Eagles
4,Sun 25 Sep 1983,season,New York Jets,Los Angeles Rams,New York Jets,Los Angeles Rams
4,Sun 25 Sep 1983,season,Dallas Cowboys,New Orleans Saints,Dallas Cowboys,New Orleans Saints
4,Sun 25 Sep 1983,season,Miami Dolphins,Kansas City Chiefs,Miami Dolphins,Kansas City Chiefs
4,Mon 26 Sep 1983,season,New York Giants,Green Bay Packers,New York Giants,Green Bay Packers
5,Sun 2 Oct 1983,season,Atlanta Falcons,Philadelphia Eagles,Philadelphia Eagles,Atlanta Falcons
5,Sun 2 Oct 1983,season,Minnesota Vikings,Dallas Cowboys,Dallas Cowboys,Minnesota Vikings
5,Sun 2 Oct 1983,season,Chicago Bears,Denver Broncos,Chicago Bears,Denver Broncos
5,Sun 2 Oct 1983,season,New York Giants,San Diego Chargers,San Diego Chargers,New York Giants
5,Sun 2 Oct 1983,season,Washington Redskins,Los Angeles Raiders,Washington Redskins,Los Angeles Raiders
5,Sun 2 Oct 1983,season,Kansas City Chiefs,St. Louis Cardinals,Kansas City Chiefs,St. Louis Cardinals
5,Sun 2 Oct 1983,season,Pittsburgh Steelers,Houston Oilers,Pittsburgh Steelers,Houston Oilers
5,Sun 2 Oct 1983,season,Green Bay Packers,Tampa Bay Buccaneers,Green Bay Packers,Tampa Bay Buccaneers
5,Sun 2 Oct 1983,season,New Orleans Saints,Miami Dolphins,New Orleans Saints,Miami Dolphins
5,Sun 2 Oct 1983,season,New England Patriots,San Francisco 49ers,San Francisco 49ers,New England Patriots
5,Sun 2 Oct 1983,season,Los Angeles Rams,Detroit Lions,Los Angeles Rams,Detroit Lions
5,Sun 2 Oct 1983,season,Cleveland Browns,Seattle Seahawks,Seattle Seahawks,Cleveland Browns
5,Sun 2 Oct 1983,season,Cincinnati Bengals,Baltimore Colts,Baltimore Colts,Cincinnati Bengals
5,Mon 3 Oct 1983,season,Buffalo Bills,New York Jets,New York Jets,Buffalo Bills
6,Sun 9 Oct 1983,season,Baltimore Colts,New England Patriots,Baltimore Colts,New England Patriots
6,Sun 9 Oct 1983,season,Atlanta Falcons,New Orleans Saints,New Orleans Saints,Atlanta Falcons
6,Sun 9 Oct 1983,season,Dallas Cowboys,Tampa Bay Buccaneers,Dallas Cowboys,Tampa Bay Buccaneers
6,Sun 9 Oct 1983,season,Cleveland Browns,New York Jets,Cleveland Browns,New York Jets
6,Sun 9 Oct 1983,season,St. Louis Cardinals,Washington Redskins,Washington Redskins,St. Louis Cardinals
6,Sun 9 Oct 1983,season,San Diego Chargers,Seattle Seahawks,San Diego Chargers,Seattle Seahawks
6,Sun 9 Oct 1983,season,Detroit Lions,Green Bay Packers,Detroit Lions,Green Bay Packers
6,Sun 9 Oct 1983,season,Miami Dolphins,Buffalo Bills,Buffalo Bills,Miami Dolphins
6,Sun 9 Oct 1983,season,Chicago Bears,Minnesota Vikings,Minnesota Vikings,Chicago Bears
6,Sun 9 Oct 1983,season,San Francisco 49ers,Los Angeles Rams,Los Angeles Rams,San Francisco 49ers
6,Sun 9 Oct 1983,season,New York Giants,Philadelphia Eagles,Philadelphia Eagles,New York Giants
6,Sun 9 Oct 1983,season,Houston Oilers,Denver Broncos,Denver Broncos,Houston Oilers
6,Sun 9 Oct 1983,season,Los Angeles Raiders,Kansas City Chiefs,Los Angeles Raiders,Kansas City Chiefs
6,Mon 10 Oct 1983,season,Cincinnati Bengals,Pittsburgh Steelers,Pittsburgh Steelers,Cincinnati Bengals
7,Sun 16 Oct 1983,season,Dallas Cowboys,Philadelphia Eagles,Dallas Cowboys,Philadelphia Eagles
7,Sun 16 Oct 1983,season,Kansas City Chiefs,New York Giants,Kansas City Chiefs,New York Giants
7,Sun 16 Oct 1983,season,New Orleans Saints,San Francisco 49ers,San Francisco 49ers,New Orleans Saints
7,Sun 16 Oct 1983,season,New England Patriots,San Diego Chargers,New England Patriots,San Diego Chargers
7,Sun 16 Oct 1983,season,Tampa Bay Buccaneers,St. Louis Cardinals,St. Louis Cardinals,Tampa Bay Buccaneers
7,Sun 16 Oct 1983,season,Los Angeles Rams,Atlanta Falcons,Los Angeles Rams,Atlanta Falcons
7,Sun 16 Oct 1983,season,Detroit Lions,Chicago Bears,Detroit Lions,Chicago Bears
7,Sun 16 Oct 1983,season,Baltimore Colts,Buffalo Bills,Buffalo Bills,Baltimore Colts
7,Sun 16 Oct 1983,season,Pittsburgh Steelers,Cleveland Browns,Pittsburgh Steelers,Cleveland Browns
7,Sun 16 Oct 1983,season,Denver Broncos,Cincinnati Bengals,Denver Broncos,Cincinnati Bengals
7,Sun 16 Oct 1983,season,New York Jets,Miami Dolphins,Miami Dolphins,New York Jets
7,Sun 16 Oct 1983,season,Minnesota Vikings,Houston Oilers,Minnesota Vikings,Houston Oilers
7,Sun 16 Oct 1983,season,Seattle Seahawks,Los Angeles Raiders,Seattle Seahawks,Los Angeles Raiders
7,Mon 17 Oct 1983,season,Green Bay Packers,Washington Redskins,Green Bay Packers,Washington Redskins
8,Sun 23 Oct 1983,season,Denver Broncos,San Diego Chargers,Denver Broncos,San Diego Chargers
8,Sun 23 Oct 1983,season,Washington Redskins,Detroit Lions,Washington Redskins,Detroit Lions
8,Sun 23 Oct 1983,season,Dallas Cowboys,Los Angeles Raiders,Los Angeles Raiders,Dallas Cowboys
8,Sun 23 Oct 1983,season,Green Bay Packers,Minnesota Vikings,Minnesota Vikings,Green Bay Packers
8,Sun 23 Oct 1983,season,Tampa Bay Buccaneers,New Orleans Saints,New Orleans Saints,Tampa Bay Buccaneers
8,Sun 23 Oct 1983,season,Baltimore Colts,Miami Dolphins,Miami Dolphins,Baltimore Colts
8,Sun 23 Oct 1983,season,Seattle Seahawks,Pittsburgh Steelers,Pittsburgh Steelers,Seattle Seahawks
8,Sun 23 Oct 1983,season,Cincinnati Bengals,Cleveland Browns,Cincinnati Bengals,Cleveland Browns
8,Sun 23 Oct 1983,season,Buffalo Bills,New England Patriots,New England Patriots,Buffalo Bills
8,Sun 23 Oct 1983,season,Los Angeles Rams,San Francisco 49ers,San Francisco 49ers,Los Angeles Rams
8,Sun 23 Oct 1983,season,Houston Oilers,Kansas City Chiefs,Kansas City Chiefs,Houston Oilers
8,Sun 23 Oct 1983,season,New York Jets,Atlanta Falcons,Atlanta Falcons,New York Jets
8,Sun 23 Oct 1983,season,Philadelphia Eagles,Chicago Bears,Chicago Bears,Philadelphia Eagles
8,Mon 24 Oct 1983,season,St. Louis Cardinals,New York Giants,New York Giants,St. Louis Cardinals
9,Sun 30 Oct 1983,season,San Francisco 49ers,New York Jets,New York Jets,San Francisco 49ers
9,Sun 30 Oct 1983,season,Cincinnati Bengals,Green Bay Packers,Cincinnati Bengals,Green Bay Packers
9,Sun 30 Oct 1983,season,Denver Broncos,Kansas City Chiefs,Denver Broncos,Kansas City Chiefs
9,Sun 30 Oct 1983,season,Los Angeles Raiders,Seattle Seahawks,Seattle Seahawks,Los Angeles Raiders
9,Sun 30 Oct 1983,season,Chicago Bears,Detroit Lions,Detroit Lions,Chicago Bears
9,Sun 30 Oct 1983,season,Cleveland Browns,Houston Oilers,Cleveland Browns,Houston Oilers
9,Sun 30 Oct 1983,season,Buffalo Bills,New Orleans Saints,Buffalo Bills,New Orleans Saints
9,Sun 30 Oct 1983,season,Philadelphia Eagles,Baltimore Colts,Baltimore Colts,Philadelphia Eagles
9,Sun 30 Oct 1983,season,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots
9,Sun 30 Oct 1983,season,Miami Dolphins,Los Angeles Rams,Miami Dolphins,Los Angeles Rams
9,Sun 30 Oct 1983,season,Pittsburgh Steelers,Tampa Bay Buccaneers,Pittsburgh Steelers,Tampa Bay Buccaneers
9,Sun 30 Oct 1983,season,St. Louis Cardinals,Minnesota Vikings,St. Louis Cardinals,Minnesota Vikings
9,Sun 30 Oct 1983,season,New York Giants,Dallas Cowboys,Dallas Cowboys,New York Giants
9,Mon 31 Oct 1983,season,San Diego Chargers,Washington Redskins,Washington Redskins,San Diego Chargers
10,Sun 6 Nov 1983,season,Kansas City Chiefs,Los Angeles Raiders,Los Angeles Raiders,Kansas City Chiefs
10,Sun 6 Nov 1983,season,New Orleans Saints,Atlanta Falcons,New Orleans Saints,Atlanta Falcons
10,Sun 6 Nov 1983,season,Minnesota Vikings,Tampa Bay Buccaneers,Tampa Bay Buccaneers,Minnesota Vikings
10,Sun 6 Nov 1983,season,San Francisco 49ers,Miami Dolphins,Miami Dolphins,San Francisco 49ers
10,Sun 6 Nov 1983,season,Seattle Seahawks,Denver Broncos,Seattle Seahawks,Denver Broncos
10,Sun 6 Nov 1983,season,New England Patriots,Buffalo Bills,New England Patriots,Buffalo Bills
10,Sun 6 Nov 1983,season,Houston Oilers,Cincinnati Bengals,Cincinnati Bengals,Houston Oilers
10,Sun 6 Nov 1983,season,Pittsburgh Steelers,San Diego Chargers,Pittsburgh Steelers,San Diego Chargers
10,Sun 6 Nov 1983,season,Washington Redskins,St. Louis Cardinals,Washington Redskins,St. Louis Cardinals
10,Sun 6 Nov 1983,season,New York Jets,Baltimore Colts,Baltimore Colts,New York Jets
10,Sun 6 Nov 1983,season,Green Bay Packers,Cleveland Browns,Green Bay Packers,Cleveland Browns
10,Sun 6 Nov 1983,season,Los Angeles Rams,Chicago Bears,Los Angeles Rams,Chicago Bears
10,Sun 6 Nov 1983,season,Philadelphia Eagles,Dallas Cowboys,Dallas Cowboys,Philadelphia Eagles
10,Mon 7 Nov 1983,season,Detroit Lions,New York Giants,Detroit Lions,New York Giants
11,Sun 13 Nov 1983,season,New York Giants,Washington Redskins,Washington Redskins,New York Giants
11,Sun 13 Nov 1983,season,San Diego Chargers,Dallas Cowboys,San Diego Chargers,Dallas Cowboys
11,Sun 13 Nov 1983,season,New England Patriots,Miami Dolphins,New England Patriots,Miami Dolphins
11,Sun 13 Nov 1983,season,St. Louis Cardinals,Seattle Seahawks,St. Louis Cardinals,Seattle Seahawks
11,Sun 13 Nov 1983,season,Baltimore Colts,Pittsburgh Steelers,Pittsburgh Steelers,Baltimore Colts
11,Sun 13 Nov 1983,season,Minnesota Vikings,Green Bay Packers,Green Bay Packers,Minnesota Vikings
11,Sun 13 Nov 1983,season,Kansas City Chiefs,Cincinnati Bengals,Kansas City Chiefs,Cincinnati Bengals
11,Sun 13 Nov 1983,season,Cleveland Browns,Tampa Bay Buccaneers,Cleveland Browns,Tampa Bay Buccaneers
11,Sun 13 Nov 1983,season,Chicago Bears,Philadelphia Eagles,Chicago Bears,Philadelphia Eagles
11,Sun 13 Nov 1983,season,Los Angeles Raiders,Denver Broncos,Los Angeles Raiders,Denver Broncos
11,Sun 13 Nov 1983,season,San Francisco 49ers,New Orleans Saints,San Francisco 49ers,New Orleans Saints
11,Sun 13 Nov 1983,season,Houston Oilers,Detroit Lions,Houston Oilers,Detroit Lions
11,Sun 13 Nov 1983,season,New York Jets,Buffalo Bills,Buffalo Bills,New York Jets
11,Mon 14 Nov 1983,season,Atlanta Falcons,Los Angeles Rams,Los Angeles Rams,Atlanta Falcons
12,Sun 20 Nov 1983,season,Cincinnati Bengals,Houston Oilers,Cincinnati Bengals,Houston Oilers
12,Sun 20 Nov 1983,season,Tampa Bay Buccaneers,Chicago Bears,Chicago Bears,Tampa Bay Buccaneers
12,Sun 20 Nov 1983,season,New England Patriots,Cleveland Browns,Cleveland Browns,New England Patriots
12,Sun 20 Nov 1983,season,Los Angeles Rams,Washington Redskins,Washington Redskins,Los Angeles Rams
12,Sun 20 Nov 1983,season,Pittsburgh Steelers,Minnesota Vikings,Minnesota Vikings,Pittsburgh Steelers
12,Sun 20 Nov 1983,season,Miami Dolphins,Baltimore Colts,Miami Dolphins,Baltimore Colts
12,Sun 20 Nov 1983,season,Atlanta Falcons,San Francisco 49ers,Atlanta Falcons,San Francisco 49ers
12,Sun 20 Nov 1983,season,Philadelphia Eagles,New York Giants,New York Giants,Philadelphia Eagles
12,Sun 20 Nov 1983,season,Buffalo Bills,Los Angeles Raiders,Los Angeles Raiders,Buffalo Bills
12,Sun 20 Nov 1983,season,Denver Broncos,Seattle Seahawks,Denver Broncos,Seattle Seahawks
12,Sun 20 Nov 1983,season,Green Bay Packers,Detroit Lions,Detroit Lions,Green Bay Packers
12,Sun 20 Nov 1983,season,St. Louis Cardinals,San Diego Chargers,St. Louis Cardinals,San Diego Chargers
12,Sun 20 Nov 1983,season,Dallas Cowboys,Kansas City Chiefs,Dallas Cowboys,Kansas City Chiefs
12,Mon 21 Nov 1983,season,New Orleans Saints,New York Jets,New York Jets,New Orleans Saints
13,Thu 24 Nov 1983,season,Detroit Lions,Pittsburgh Steelers,Detroit Lions,Pittsburgh Steelers
13,Thu 24 Nov 1983,season,Dallas Cowboys,St. Louis Cardinals,Dallas Cowboys,St. Louis Cardinals
13,Sun 27 Nov 1983,season,Chicago Bears,San Francisco 49ers,Chicago Bears,San Francisco 49ers
13,Sun 27 Nov 1983,season,Los Angeles Raiders,New York Giants,Los Angeles Raiders,New York Giants
13,Sun 27 Nov 1983,season,Atlanta Falcons,Green Bay Packers,Atlanta Falcons,Green Bay Packers
13,Sun 27 Nov 1983,season,San Diego Chargers,Denver Broncos,San Diego Chargers,Denver Broncos
13,Sun 27 Nov 1983,season,Los Angeles Rams,Buffalo Bills,Los Angeles Rams,Buffalo Bills
13,Sun 27 Nov 1983,season,New Orleans Saints,Minnesota Vikings,New Orleans Saints,Minnesota Vikings
13,Sun 27 Nov 1983,season,Tampa Bay Buccaneers,Houston Oilers,Tampa Bay Buccaneers,Houston Oilers
13,Sun 27 Nov 1983,season,New York Jets,New England Patriots,New York Jets,New England Patriots
13,Sun 27 Nov 1983,season,Washington Redskins,Philadelphia Eagles,Washington Redskins,Philadelphia Eagles
13,Sun 27 Nov 1983,season,Cleveland Browns,Baltimore Colts,Cleveland Browns,Baltimore Colts
13,Sun 27 Nov 1983,season,Seattle Seahawks,Kansas City Chiefs,Seattle Seahawks,Kansas City Chiefs
13,Mon 28 Nov 1983,season,Miami Dolphins,Cincinnati Bengals,Miami Dolphins,Cincinnati Bengals
14,Thu 1 Dec 1983,season,San Diego Chargers,Los Angeles Raiders,Los Angeles Raiders,San Diego Chargers
14,Sun 4 Dec 1983,season,San Francisco 49ers,Tampa Bay Buccaneers,San Francisco 49ers,Tampa Bay Buccaneers
14,Sun 4 Dec 1983,season,Philadelphia Eagles,Los Angeles Rams,Philadelphia Eagles,Los Angeles Rams
14,Sun 4 Dec 1983,season,New York Giants,St. Louis Cardinals,St. Louis Cardinals,New York Giants
14,Sun 4 Dec 1983,season,Denver Broncos,Cleveland Browns,Denver Broncos,Cleveland Browns
14,Sun 4 Dec 1983,season,Pittsburgh Steelers,Cincinnati Bengals,Cincinnati Bengals,Pittsburgh Steelers
14,Sun 4 Dec 1983,season,Green Bay Packers,Chicago Bears,Green Bay Packers,Chicago Bears
14,Sun 4 Dec 1983,season,Kansas City Chiefs,Buffalo Bills,Buffalo Bills,Kansas City Chiefs
14,Sun 4 Dec 1983,season,Baltimore Colts,New York Jets,New York Jets,Baltimore Colts
14,Sun 4 Dec 1983,season,Houston Oilers,Miami Dolphins,Miami Dolphins,Houston Oilers
14,Sun 4 Dec 1983,season,Seattle Seahawks,Dallas Cowboys,Dallas Cowboys,Seattle Seahawks
14,Sun 4 Dec 1983,season,Washington Redskins,Atlanta Falcons,Washington Redskins,Atlanta Falcons
14,Sun 4 Dec 1983,season,New England Patriots,New Orleans Saints,New England Patriots,New Orleans Saints
14,Mon 5 Dec 1983,season,Detroit Lions,Minnesota Vikings,Detroit Lions,Minnesota Vikings
15,Sat 10 Dec 1983,season,Miami Dolphins,Atlanta Falcons,Miami Dolphins,Atlanta Falcons
15,Sat 10 Dec 1983,season,New York Jets,Pittsburgh Steelers,Pittsburgh Steelers,New York Jets
15,Sun 11 Dec 1983,season,Dallas Cowboys,Washington Redskins,Washington Redskins,Dallas Cowboys
15,Sun 11 Dec 1983,season,Houston Oilers,Cleveland Browns,Houston Oilers,Cleveland Browns
15,Sun 11 Dec 1983,season,Denver Broncos,Baltimore Colts,Denver Broncos,Baltimore Colts
15,Sun 11 Dec 1983,season,Cincinnati Bengals,Detroit Lions,Cincinnati Bengals,Detroit Lions
15,Sun 11 Dec 1983,season,Minnesota Vikings,Chicago Bears,Chicago Bears,Minnesota Vikings
15,Sun 11 Dec 1983,season,Buffalo Bills,San Francisco 49ers,San Francisco 49ers,Buffalo Bills
15,Sun 11 Dec 1983,season,San Diego Chargers,Kansas City Chiefs,San Diego Chargers,Kansas City Chiefs
15,Sun 11 Dec 1983,season,Los Angeles Raiders,St. Louis Cardinals,St. Louis Cardinals,Los Angeles Raiders
15,Sun 11 Dec 1983,season,Los Angeles Rams,New England Patriots,New England Patriots,Los Angeles Rams
15,Sun 11 Dec 1983,season,Philadelphia Eagles,New Orleans Saints,New Orleans Saints,Philadelphia Eagles
15,Sun 11 Dec 1983,season,New York Giants,Seattle Seahawks,Seattle Seahawks,New York Giants
15,Mon 12 Dec 1983,season,Tampa Bay Buccaneers,Green Bay Packers,Green Bay Packers,Tampa Bay Buccaneers
16,Fri 16 Dec 1983,season,Miami Dolphins,New York Jets,Miami Dolphins,New York Jets
16,Sat 17 Dec 1983,season,Washington Redskins,New York Giants,Washington Redskins,New York Giants
16,Sat 17 Dec 1983,season,Minnesota Vikings,Cincinnati Bengals,Minnesota Vikings,Cincinnati Bengals
16,Sun 18 Dec 1983,season,New Orleans Saints,Los Angeles Rams,Los Angeles Rams,New Orleans Saints
16,Sun 18 Dec 1983,season,Chicago Bears,Green Bay Packers,Chicago Bears,Green Bay Packers
16,Sun 18 Dec 1983,season,Seattle Seahawks,New England Patriots,Seattle Seahawks,New England Patriots
16,Sun 18 Dec 1983,season,Los Angeles Raiders,San Diego Chargers,Los Angeles Raiders,San Diego Chargers
16,Sun 18 Dec 1983,season,Detroit Lions,Tampa Bay Buccaneers,Detroit Lions,Tampa Bay Buccaneers
16,Sun 18 Dec 1983,season,Atlanta Falcons,Buffalo Bills,Atlanta Falcons,Buffalo Bills
16,Sun 18 Dec 1983,season,Baltimore Colts,Houston Oilers,Baltimore Colts,Houston Oilers
16,Sun 18 Dec 1983,season,St. Louis Cardinals,Philadelphia Eagles,St. Louis Cardinals,Philadelphia Eagles
16,Sun 18 Dec 1983,season,Cleveland Browns,Pittsburgh Steelers,Cleveland Browns,Pittsburgh Steelers
16,Sun 18 Dec 1983,season,Kansas City Chiefs,Denver Broncos,Kansas City Chiefs,Denver Broncos
16,Mon 19 Dec 1983,season,San Francisco 49ers,Dallas Cowboys,San Francisco 49ers,Dallas Cowboys
*,Sat 24 Dec 1983,WildCard,Seattle Seahawks,Denver Broncos,Seattle Seahawks,Denver Broncos
*,Mon 26 Dec 1983,WildCard,Dallas Cowboys,Los Angeles Rams,Los Angeles Rams,Dallas Cowboys
*,Sat 31 Dec 1983,Division,Miami Dolphins,Seattle Seahawks,Seattle Seahawks,Miami Dolphins
*,Sat 31 Dec 1983,Division,San Francisco 49ers,Detroit Lions,San Francisco 49ers,Detroit Lions
*,Sat 1 Jan 1983,Division,Los Angeles Raiders,Pittsburgh Steelers,Los Angeles Raiders,Pittsburgh Steelers
*,Sat 1 Jan 1983,Division,Washington Redskins,Los Angeles Rams,Washington Redskins,Los Angeles Rams
*,Sat 8 Jan 1983,ConfChamp,Los Angeles Raiders,Seattle Seahawks,Los Angeles Raiders,Seattle Seahawks
*,Sat 8 Jan 1983,ConfChamp,Washington Redskins,San Francisco 49ers,Washington Redskins,San Francisco 49ers
*,Sat 22 Jan 1983,SuperBowl,Los Angeles Raiders,Washington Redskins,Los Angeles Raiders,Washington Redskins
