week,date,game type,home,away,winner,loser
1,Sat 3 Sep 1983,season,San Francisco 49ers,Philadelphia Eagles,Philadelphia Eagles,San Francisco 49ers
1,Sun 4 Sep 1983,season,Chicago Bears,Atlanta Falcons,Atlanta Falcons,Chicago Bears
1,Sun 4 Sep 1983,season,San Diego Chargers,New York Jets,New York Jets,San Diego Chargers
1,Sun 4 Sep 1983,season,Tampa Bay Buccaneers,Detroit Lions,Detroit Lions,Tampa Bay Buccaneers
1,Sun 4 Sep 1983,season,Buffalo Bills,Miami Dolphins,Miami Dolphins,Buffalo Bills
1,Sun 4 Sep 1983,season,Pittsburgh Steelers,Denver Broncos,Denver Broncos,Pittsburgh Steelers
1,Sun 4 Sep 1983,season,Cincinnati Bengals,Los Angeles Raiders,Los Angeles Raiders,Cincinnati Bengals
1,Sun 4 Sep 1983,season,New Orleans Saints,St. Louis Cardinals,New Orleans Saints,St. Louis Cardinals
1,Sun 4 Sep 1983,season,New England Patriots,Baltimore Colts,Baltimore Colts,New England Patriots
1,Sun 4 Sep 1983,season,Cleveland Browns,Minnesota Vikings,Minnesota Vikings,Cleveland Browns
1,Sun 4 Sep 1983,season,Houston Oilers,Green Bay Packers,Green Bay Packers,Houston Oilers
1,Sun 4 Sep 1983,season,New York Giants,Los Angeles Rams,Los Angeles Rams,New York Giants
1,Sun 4 Sep 1983,season,Kansas City Chiefs,Seattle Seahawks,Kansas City Chiefs,Seattle Seahawks
1,Mon 5 Sep 1983,season,Washington Redskins,Dallas Cowboys,Dallas Cowboys,Washington Redskins
2,Thu 8 Sep 1983,season,Minnesota Vikings,San Francisco 49ers,San Francisco 49ers,Minnesota Vikings
2,Sun 11 Sep 1983,season,Los Angeles Rams,New Orleans Saints,Los Angeles Rams,New Orleans Saints
2,Sun 11 Sep 1983,season,Chicago Bears,Tampa Bay Buccaneers,Chicago Bears,Tampa Bay Buccaneers
2,Sun 11 Sep 1983,season,Detroit Lions,Cleveland Browns,Cleveland Browns,Detroit Lions
2,Sun 11 Sep 1983,season,St. Louis Cardinals,Dallas Cowboys,Dallas Cowboys,St. Louis Cardinals
2,Sun 11 Sep 1983,season,Philadelphia Eagles,Washington Redskins,Washington Redskins,Philadelphia Eagles
2,Sun 11 Sep 1983,season,Green Bay Packers,Pittsburgh Steelers,Pittsburgh Steelers,Green Bay Packers
2,Sun 11 Sep 1983,season,Atlanta Falcons,New York Giants,New York Giants,Atlanta Falcons
