week,date,game type,home,away,winner,loser,tie
1,Sun 1 Sep 1996,season,Carolina Panthers,Atlanta Falcons,Carolina Panthers,Atlanta Falcons,false
1,Sun 1 Sep 1996,season,Indianapolis Colts,Arizona Cardinals,Indianapolis Colts,Arizona Cardinals,false
1,Sun 1 Sep 1996,season,Houston Oilers,Kansas City Chiefs,Kansas City Chiefs,Houston Oilers,false
1,Sun 1 Sep 1996,season,San Diego Chargers,Seattle Seahawks,San Diego Chargers,Seattle Seahawks,false
1,Sun 1 Sep 1996,season,New York Giants,Buffalo Bills,Buffalo Bills,New York Giants,false
1,Sun 1 Sep 1996,season,Miami Dolphins,New England Patriots,Miami Dolphins,New England Patriots,false
1,Sun 1 Sep 1996,season,Baltimore Ravens,Oakland Raiders,Baltimore Ravens,Oakland Raiders,false
1,Sun 1 Sep 1996,season,Tampa Bay Buccaneers,Green Bay Packers,Green Bay Packers,Tampa Bay Buccaneers,false
1,Sun 1 Sep 1996,season,St. Louis Rams,Cincinnati Bengals,St. Louis Rams,Cincinnati Bengals,false
1,Sun 1 Sep 1996,season,San Francisco 49ers,New Orleans Saints,San Francisco 49ers,New Orleans Saints,false
1,Sun 1 Sep 1996,season,Jacksonville Jaguars,Pittsburgh Steelers,Jacksonville Jaguars,Pittsburgh Steelers,false
1,Sun 1 Sep 1996,season,Washington Redskins,Philadelphia Eagles,Philadelphia Eagles,Washington Redskins,false
1,Sun 1 Sep 1996,season,Denver Broncos,New York Jets,Denver Broncos,New York Jets,false
1,Sun 1 Sep 1996,season,Minnesota Vikings,Detroit Lions,Minnesota Vikings,Detroit Lions,false
1,Mon 2 Sep 1996,season,Chicago Bears,Dallas Cowboys,Chicago Bears,Dallas Cowboys,false
2,Sun 8 Sep 1996,season,Detroit Lions,Tampa Bay Buccaneers,Detroit Lions,Tampa Bay Buccaneers,false
2,Sun 8 Sep 1996,season,Washington Redskins,Chicago Bears,Washington Redskins,Chicago Bears,false
2,Sun 8 Sep 1996,season,Kansas City Chiefs,Oakland Raiders,Kansas City Chiefs,Oakland Raiders,false
2,Sun 8 Sep 1996,season,San Francisco 49ers,St. Louis Rams,San Francisco 49ers,St. Louis Rams,false
2,Sun 8 Sep 1996,season,San Diego Chargers,Cincinnati Bengals,San Diego Chargers,Cincinnati Bengals,false
2,Sun 8 Sep 1996,season,New York Jets,Indianapolis Colts,Indianapolis Colts,New York Jets,false
2,Sun 8 Sep 1996,season,Jacksonville Jaguars,Houston Oilers,Houston Oilers,Jacksonville Jaguars,false
2,Sun 8 Sep 1996,season,New Orleans Saints,Carolina Panthers,Carolina Panthers,New Orleans Saints,false
2,Sun 8 Sep 1996,season,Pittsburgh Steelers,Baltimore Ravens,Pittsburgh Steelers,Baltimore Ravens,false
2,Sun 8 Sep 1996,season,Atlanta Falcons,Minnesota Vikings,Minnesota Vikings,Atlanta Falcons,false
2,Sun 8 Sep 1996,season,Dallas Cowboys,New York Giants,Dallas Cowboys,New York Giants,false
2,Sun 8 Sep 1996,season,Seattle Seahawks,Denver Broncos,Denver Broncos,Seattle Seahawks,false
2,Sun 8 Sep 1996,season,Arizona Cardinals,Miami Dolphins,Miami Dolphins,Arizona Cardinals,false
2,Sun 8 Sep 1996,season,Buffalo Bills,New England Patriots,Buffalo Bills,New England Patriots,false
2,Mon 9 Sep 1996,season,Green Bay Packers,Philadelphia Eagles,Green Bay Packers,Philadelphia Eagles,false
3,Sun 15 Sep 1996,season,Cincinnati Bengals,New Orleans Saints,Cincinnati Bengals,New Orleans Saints,false
3,Sun 15 Sep 1996,season,Chicago Bears,Minnesota Vikings,Minnesota Vikings,Chicago Bears,false
3,Sun 15 Sep 1996,season,Denver Broncos,Tampa Bay Buccaneers,Denver Broncos,Tampa Bay Buccaneers,false
3,Sun 15 Sep 1996,season,Oakland Raiders,Jacksonville Jaguars,Oakland Raiders,Jacksonville Jaguars,false
3,Sun 15 Sep 1996,season,New York Giants,Washington Redskins,Washington Redskins,New York Giants,false
3,Sun 15 Sep 1996,season,New England Patriots,Arizona Cardinals,New England Patriots,Arizona Cardinals,false
3,Sun 15 Sep 1996,season,Miami Dolphins,New York Jets,Miami Dolphins,New York Jets,false
3,Sun 15 Sep 1996,season,Houston Oilers,Baltimore Ravens,Houston Oilers,Baltimore Ravens,false
3,Sun 15 Sep 1996,season,Philadelphia Eagles,Detroit Lions,Philadelphia Eagles,Detroit Lions,false
3,Sun 15 Sep 1996,season,Seattle Seahawks,Kansas City Chiefs,Kansas City Chiefs,Seattle Seahawks,false
3,Sun 15 Sep 1996,season,Green Bay Packers,San Diego Chargers,Green Bay Packers,San Diego Chargers,false
3,Sun 15 Sep 1996,season,Dallas Cowboys,Indianapolis Colts,Indianapolis Colts,Dallas Cowboys,false
3,Mon 16 Sep 1996,season,Pittsburgh Steelers,Buffalo Bills,Pittsburgh Steelers,Buffalo Bills,false
4,Sun 22 Sep 1996,season,Carolina Panthers,San Francisco 49ers,Carolina Panthers,San Francisco 49ers,false
4,Sun 22 Sep 1996,season,Atlanta Falcons,Philadelphia Eagles,Philadelphia Eagles,Atlanta Falcons,false
4,Sun 22 Sep 1996,season,St. Louis Rams,Washington Redskins,Washington Redskins,St. Louis Rams,false
4,Sun 22 Sep 1996,season,Detroit Lions,Chicago Bears,Detroit Lions,Chicago Bears,false
4,Sun 22 Sep 1996,season,Oakland Raiders,San Diego Chargers,San Diego Chargers,Oakland Raiders,false
4,Sun 22 Sep 1996,season,Buffalo Bills,Dallas Cowboys,Buffalo Bills,Dallas Cowboys,false
4,Sun 22 Sep 1996,season,Tampa Bay Buccaneers,Seattle Seahawks,Seattle Seahawks,Tampa Bay Buccaneers,false
4,Sun 22 Sep 1996,season,New Orleans Saints,Arizona Cardinals,Arizona Cardinals,New Orleans Saints,false
4,Sun 22 Sep 1996,season,Kansas City Chiefs,Denver Broncos,Kansas City Chiefs,Denver Broncos,false
4,Sun 22 Sep 1996,season,Minnesota Vikings,Green Bay Packers,Minnesota Vikings,Green Bay Packers,false
4,Sun 22 Sep 1996,season,New England Patriots,Jacksonville Jaguars,New England Patriots,Jacksonville Jaguars,false
4,Sun 22 Sep 1996,season,New York Jets,New York Giants,New York Giants,New York Jets,false
4,Mon 23 Sep 1996,season,Indianapolis Colts,Miami Dolphins,Indianapolis Colts,Miami Dolphins,false
5,Sun 29 Sep 1996,season,Pittsburgh Steelers,Houston Oilers,Pittsburgh Steelers,Houston Oilers,false
5,Sun 29 Sep 1996,season,San Francisco 49ers,Atlanta Falcons,San Francisco 49ers,Atlanta Falcons,false
5,Sun 29 Sep 1996,season,Cincinnati Bengals,Denver Broncos,Denver Broncos,Cincinnati Bengals,false
5,Sun 29 Sep 1996,season,Jacksonville Jaguars,Carolina Panthers,Jacksonville Jaguars,Carolina Panthers,false
5,Sun 29 Sep 1996,season,Tampa Bay Buccaneers,Detroit Lions,Detroit Lions,Tampa Bay Buccaneers,false
5,Sun 29 Sep 1996,season,Washington Redskins,New York Jets,Washington Redskins,New York Jets,false
5,Sun 29 Sep 1996,season,New York Giants,Minnesota Vikings,New York Giants,Minnesota Vikings,false
5,Sun 29 Sep 1996,season,Arizona Cardinals,St. Louis Rams,Arizona Cardinals,St. Louis Rams,false
5,Sun 29 Sep 1996,season,Chicago Bears,Oakland Raiders,Chicago Bears,Oakland Raiders,false
5,Sun 29 Sep 1996,season,San Diego Chargers,Kansas City Chiefs,San Diego Chargers,Kansas City Chiefs,false
5,Sun 29 Sep 1996,season,Seattle Seahawks,Green Bay Packers,Green Bay Packers,Seattle Seahawks,false
5,Sun 29 Sep 1996,season,Baltimore Ravens,New Orleans Saints,Baltimore Ravens,New Orleans Saints,false
