week,date,game type,home,away,winner,loser,tie
5,Mon 30 Sep 1996,season,Philadelphia Eagles,Dallas Cowboys,Dallas Cowboys,Philadelphia Eagles,false
6,Sun 6 Oct 1996,season,Minnesota Vikings,Carolina Panthers,Minnesota Vikings,Carolina Panthers,false
6,Sun 6 Oct 1996,season,Buffalo Bills,Indianapolis Colts,Buffalo Bills,Indianapolis Colts,false
6,Sun 6 Oct 1996,season,Baltimore Ravens,New England Patriots,New England Patriots,Baltimore Ravens,false
6,Sun 6 Oct 1996,season,Miami Dolphins,Seattle Seahawks,Seattle Seahawks,Miami Dolphins,false
6,Sun 6 Oct 1996,season,Cincinnati Bengals,Houston Oilers,Houston Oilers,Cincinnati Bengals,false
6,Sun 6 Oct 1996,season,St. Louis Rams,San Francisco 49ers,San Francisco 49ers,St. Louis Rams,false
6,Sun 6 Oct 1996,season,Detroit Lions,Atlanta Falcons,Detroit Lions,Atlanta Falcons,false
6,Sun 6 Oct 1996,season,Chicago Bears,Green Bay Packers,Green Bay Packers,Chicago Bears,false
6,Sun 6 Oct 1996,season,New Orleans Saints,Jacksonville Jaguars,New Orleans Saints,Jacksonville Jaguars,false
6,Sun 6 Oct 1996,season,New York Jets,Oakland Raiders,Oakland Raiders,New York Jets,false
6,Sun 6 Oct 1996,season,Denver Broncos,San Diego Chargers,Denver Broncos,San Diego Chargers,false
6,Mon 7 Oct 1996,season,Kansas City Chiefs,Pittsburgh Steelers,Pittsburgh Steelers,Kansas City Chiefs,false
7,Sun 13 Oct 1996,season,Atlanta Falcons,Houston Oilers,Houston Oilers,Atlanta Falcons,false
7,Sun 13 Oct 1996,season,Buffalo Bills,Miami Dolphins,Miami Dolphins,Buffalo Bills,false
7,Sun 13 Oct 1996,season,Dallas Cowboys,Arizona Cardinals,Dallas Cowboys,Arizona Cardinals,false
7,Sun 13 Oct 1996,season,Pittsburgh Steelers,Cincinnati Bengals,Pittsburgh Steelers,Cincinnati Bengals,false
7,Sun 13 Oct 1996,season,New York Giants,Philadelphia Eagles,Philadelphia Eagles,New York Giants,false
7,Sun 13 Oct 1996,season,Carolina Panthers,St. Louis Rams,Carolina Panthers,St. Louis Rams,false
7,Sun 13 Oct 1996,season,New England Patriots,Washington Redskins,Washington Redskins,New England Patriots,false
7,Sun 13 Oct 1996,season,Indianapolis Colts,Baltimore Ravens,Indianapolis Colts,Baltimore Ravens,false
7,Sun 13 Oct 1996,season,Oakland Raiders,Detroit Lions,Oakland Raiders,Detroit Lions,false
7,Sun 13 Oct 1996,season,Tampa Bay Buccaneers,Minnesota Vikings,Tampa Bay Buccaneers,Minnesota Vikings,false
7,Sun 13 Oct 1996,season,New Orleans Saints,Chicago Bears,New Orleans Saints,Chicago Bears,false
7,Sun 13 Oct 1996,season,Jacksonville Jaguars,New York Jets,Jacksonville Jaguars,New York Jets,false
7,Mon 14 Oct 1996,season,Green Bay Packers,San Francisco 49ers,Green Bay Packers,San Francisco 49ers,false
8,Thu 17 Oct 1996,season,Kansas City Chiefs,Seattle Seahawks,Kansas City Chiefs,Seattle Seahawks,false
8,Sun 20 Oct 1996,season,Carolina Panthers,New Orleans Saints,Carolina Panthers,New Orleans Saints,false
8,Sun 20 Oct 1996,season,Houston Oilers,Pittsburgh Steelers,Houston Oilers,Pittsburgh Steelers,false
8,Sun 20 Oct 1996,season,Denver Broncos,Baltimore Ravens,Denver Broncos,Baltimore Ravens,false
8,Sun 20 Oct 1996,season,Arizona Cardinals,Tampa Bay Buccaneers,Arizona Cardinals,Tampa Bay Buccaneers,false
8,Sun 20 Oct 1996,season,Indianapolis Colts,New England Patriots,New England Patriots,Indianapolis Colts,false
8,Sun 20 Oct 1996,season,New York Jets,Buffalo Bills,Buffalo Bills,New York Jets,false
8,Sun 20 Oct 1996,season,Washington Redskins,New York Giants,Washington Redskins,New York Giants,false
8,Sun 20 Oct 1996,season,Philadelphia Eagles,Miami Dolphins,Philadelphia Eagles,Miami Dolphins,false
8,Sun 20 Oct 1996,season,San Francisco 49ers,Cincinnati Bengals,San Francisco 49ers,Cincinnati Bengals,false
8,Sun 20 Oct 1996,season,Dallas Cowboys,Atlanta Falcons,Dallas Cowboys,Atlanta Falcons,false
8,Sun 20 Oct 1996,season,St. Louis Rams,Jacksonville Jaguars,St. Louis Rams,Jacksonville Jaguars,false
8,Mon 21 Oct 1996,season,San Diego Chargers,Oakland Raiders,Oakland Raiders,San Diego Chargers,false
9,Sun 27 Oct 1996,season,Green Bay Packers,Tampa Bay Buccaneers,Green Bay Packers,Tampa Bay Buccaneers,false
9,Sun 27 Oct 1996,season,Detroit Lions,New York Giants,New York Giants,Detroit Lions,false
9,Sun 27 Oct 1996,season,Houston Oilers,San Francisco 49ers,San Francisco 49ers,Houston Oilers,false
9,Sun 27 Oct 1996,season,Miami Dolphins,Dallas Cowboys,Dallas Cowboys,Miami Dolphins,false
9,Sun 27 Oct 1996,season,Baltimore Ravens,St. Louis Rams,Baltimore Ravens,St. Louis Rams,false
9,Sun 27 Oct 1996,season,Arizona Cardinals,New York Jets,New York Jets,Arizona Cardinals,false
9,Sun 27 Oct 1996,season,Washington Redskins,Indianapolis Colts,Washington Redskins,Indianapolis Colts,false
9,Sun 27 Oct 1996,season,Denver Broncos,Kansas City Chiefs,Denver Broncos,Kansas City Chiefs,false
9,Sun 27 Oct 1996,season,Cincinnati Bengals,Jacksonville Jaguars,Cincinnati Bengals,Jacksonville Jaguars,false
9,Sun 27 Oct 1996,season,Seattle Seahawks,San Diego Chargers,Seattle Seahawks,San Diego Chargers,false
9,Sun 27 Oct 1996,season,Philadelphia Eagles,Carolina Panthers,Philadelphia Eagles,Carolina Panthers,false
9,Sun 27 Oct 1996,season,New England Patriots,Buffalo Bills,New England Patriots,Buffalo Bills,false
9,Sun 27 Oct 1996,season,Atlanta Falcons,Pittsburgh Steelers,Pittsburgh Steelers,Atlanta Falcons,false
9,Mon 28 Oct 1996,season,Minnesota Vikings,Chicago Bears,Chicago Bears,Minnesota Vikings,false
10,Sun 3 Nov 1996,season,Baltimore Ravens,Cincinnati Bengals,Cincinnati Bengals,Baltimore Ravens,false
10,Sun 3 Nov 1996,season,Green Bay Packers,Detroit Lions,Green Bay Packers,Detroit Lions,false
10,Sun 3 Nov 1996,season,Indianapolis Colts,San Diego Chargers,San Diego Chargers,Indianapolis Colts,false
10,Sun 3 Nov 1996,season,Chicago Bears,Tampa Bay Buccaneers,Chicago Bears,Tampa Bay Buccaneers,false
10,Sun 3 Nov 1996,season,Buffalo Bills,Washington Redskins,Buffalo Bills,Washington Redskins,false
10,Sun 3 Nov 1996,season,New Orleans Saints,San Francisco 49ers,San Francisco 49ers,New Orleans Saints,false
10,Sun 3 Nov 1996,season,Minnesota Vikings,Kansas City Chiefs,Kansas City Chiefs,Minnesota Vikings,false
10,Sun 3 Nov 1996,season,Seattle Seahawks,Houston Oilers,Seattle Seahawks,Houston Oilers,false
10,Sun 3 Nov 1996,season,New England Patriots,Miami Dolphins,New England Patriots,Miami Dolphins,false
10,Sun 3 Nov 1996,season,Pittsburgh Steelers,St. Louis Rams,Pittsburgh Steelers,St. Louis Rams,false
10,Sun 3 Nov 1996,season,Dallas Cowboys,Philadelphia Eagles,Philadelphia Eagles,Dallas Cowboys,false
10,Sun 3 Nov 1996,season,New York Giants,Arizona Cardinals,New York Giants,Arizona Cardinals,false
10,Sun 3 Nov 1996,season,Atlanta Falcons,Carolina Panthers,Atlanta Falcons,Carolina Panthers,false
10,Mon 4 Nov 1996,season,Oakland Raiders,Denver Broncos,Denver Broncos,Oakland Raiders,false
11,Sun 10 Nov 1996,season,Carolina Panthers,New York Giants,Carolina Panthers,New York Giants,false
11,Sun 10 Nov 1996,season,Jacksonville Jaguars,Baltimore Ravens,Jacksonville Jaguars,Baltimore Ravens,false
11,Sun 10 Nov 1996,season,Cincinnati Bengals,Pittsburgh Steelers,Cincinnati Bengals,Pittsburgh Steelers,false
11,Sun 10 Nov 1996,season,Seattle Seahawks,Minnesota Vikings,Seattle Seahawks,Minnesota Vikings,false
11,Sun 10 Nov 1996,season,Tampa Bay Buccaneers,Oakland Raiders,Tampa Bay Buccaneers,Oakland Raiders,false
11,Sun 10 Nov 1996,season,New Orleans Saints,Houston Oilers,Houston Oilers,New Orleans Saints,false
11,Sun 10 Nov 1996,season,Denver Broncos,Chicago Bears,Denver Broncos,Chicago Bears,false
11,Sun 10 Nov 1996,season,San Francisco 49ers,Dallas Cowboys,Dallas Cowboys,San Francisco 49ers,false
11,Sun 10 Nov 1996,season,St. Louis Rams,Atlanta Falcons,St. Louis Rams,Atlanta Falcons,false
11,Sun 10 Nov 1996,season,New York Jets,New England Patriots,New England Patriots,New York Jets,false
11,Sun 10 Nov 1996,season,Kansas City Chiefs,Green Bay Packers,Kansas City Chiefs,Green Bay Packers,false
11,Sun 10 Nov 1996,season,Washington Redskins,Arizona Cardinals,Arizona Cardinals,Washington Redskins,false
11,Sun 10 Nov 1996,season,Miami Dolphins,Indianapolis Colts,Miami Dolphins,Indianapolis Colts,false
11,Sun 10 Nov 1996,season,Philadelphia Eagles,Buffalo Bills,Buffalo Bills,Philadelphia Eagles,false
11,Mon 11 Nov 1996,season,San Diego Chargers,Detroit Lions,San Diego Chargers,Detroit Lions,false
12,Sun 17 Nov 1996,season,San Diego Chargers,Tampa Bay Buccaneers,Tampa Bay Buccaneers,San Diego Chargers,false
12,Sun 17 Nov 1996,season,Oakland Raiders,Minnesota Vikings,Minnesota Vikings,Oakland Raiders,false
12,Sun 17 Nov 1996,season,San Francisco 49ers,Baltimore Ravens,San Francisco 49ers,Baltimore Ravens,false
12,Sun 17 Nov 1996,season,Pittsburgh Steelers,Jacksonville Jaguars,Pittsburgh Steelers,Jacksonville Jaguars,false
12,Sun 17 Nov 1996,season,Atlanta Falcons,New Orleans Saints,Atlanta Falcons,New Orleans Saints,false
12,Sun 17 Nov 1996,season,Houston Oilers,Miami Dolphins,Miami Dolphins,Houston Oilers,false
12,Sun 17 Nov 1996,season,St. Louis Rams,Carolina Panthers,Carolina Panthers,St. Louis Rams,false
12,Sun 17 Nov 1996,season,Detroit Lions,Seattle Seahawks,Detroit Lions,Seattle Seahawks,false
12,Sun 17 Nov 1996,season,New England Patriots,Denver Broncos,Denver Broncos,New England Patriots,false
12,Sun 17 Nov 1996,season,Indianapolis Colts,New York Jets,Indianapolis Colts,New York Jets,false
12,Sun 17 Nov 1996,season,Arizona Cardinals,New York Giants,Arizona Cardinals,New York Giants,false
12,Sun 17 Nov 1996,season,Philadelphia Eagles,Washington Redskins,Washington Redskins,Philadelphia Eagles,false
12,Sun 17 Nov 1996,season,Kansas City Chiefs,Chicago Bears,Kansas City Chiefs,Chicago Bears,false
12,Sun 17 Nov 1996,season,Buffalo Bills,Cincinnati Bengals,Buffalo Bills,Cincinnati Bengals,false
12,Mon 18 Nov 1996,season,Dallas Cowboys,Green Bay Packers,Dallas Cowboys,Green Bay Packers,false
13,Sun 24 Nov 1996,season,Tampa Bay Buccaneers,New Orleans Saints,Tampa Bay Buccaneers,New Orleans Saints,false
13,Sun 24 Nov 1996,season,New England Patriots,Indianapolis Colts,New England Patriots,Indianapolis Colts,false
13,Sun 24 Nov 1996,season,Buffalo Bills,New York Jets,Buffalo Bills,New York Jets,false
13,Sun 24 Nov 1996,season,St. Louis Rams,Green Bay Packers,Green Bay Packers,St. Louis Rams,false
13,Sun 24 Nov 1996,season,Kansas City Chiefs,San Diego Chargers,San Diego Chargers,Kansas City Chiefs,false
13,Sun 24 Nov 1996,season,Minnesota Vikings,Denver Broncos,Denver Broncos,Minnesota Vikings,false
13,Sun 24 Nov 1996,season,Washington Redskins,San Francisco 49ers,San Francisco 49ers,Washington Redskins,false
13,Sun 24 Nov 1996,season,Chicago Bears,Detroit Lions,Chicago Bears,Detroit Lions,false
13,Sun 24 Nov 1996,season,Arizona Cardinals,Philadelphia Eagles,Arizona Cardinals,Philadelphia Eagles,false
13,Sun 24 Nov 1996,season,New York Giants,Dallas Cowboys,New York Giants,Dallas Cowboys,false
13,Sun 24 Nov 1996,season,Cincinnati Bengals,Atlanta Falcons,Cincinnati Bengals,Atlanta Falcons,false
13,Sun 24 Nov 1996,season,Seattle Seahawks,Oakland Raiders,Oakland Raiders,Seattle Seahawks,false
13,Sun 24 Nov 1996,season,Baltimore Ravens,Jacksonville Jaguars,Jacksonville Jaguars,Baltimore Ravens,false
13,Sun 24 Nov 1996,season,Houston Oilers,Carolina Panthers,Carolina Panthers,Houston Oilers,false
13,Mon 25 Nov 1996,season,Miami Dolphins,Pittsburgh Steelers,Pittsburgh Steelers,Miami Dolphins,false
14,Thu 28 Nov 1996,season,Detroit Lions,Kansas City Chiefs,Kansas City Chiefs,Detroit Lions,false
14,Thu 28 Nov 1996,season,Dallas Cowboys,Washington Redskins,Dallas Cowboys,Washington Redskins,false
14,Sun 1 Dec 1996,season,New Orleans Saints,St. Louis Rams,St. Louis Rams,New Orleans Saints,false
14,Sun 1 Dec 1996,season,Jacksonville Jaguars,Cincinnati Bengals,Jacksonville Jaguars,Cincinnati Bengals,false
14,Sun 1 Dec 1996,season,Oakland Raiders,Miami Dolphins,Oakland Raiders,Miami Dolphins,false
14,Sun 1 Dec 1996,season,Green Bay Packers,Chicago Bears,Green Bay Packers,Chicago Bears,false
14,Sun 1 Dec 1996,season,Philadelphia Eagles,New York Giants,Philadelphia Eagles,New York Giants,false
14,Sun 1 Dec 1996,season,San Diego Chargers,New England Patriots,New England Patriots,San Diego Chargers,false
14,Sun 1 Dec 1996,season,Carolina Panthers,Tampa Bay Buccaneers,Carolina Panthers,Tampa Bay Buccaneers,false
14,Sun 1 Dec 1996,season,Baltimore Ravens,Pittsburgh Steelers,Baltimore Ravens,Pittsburgh Steelers,false
14,Sun 1 Dec 1996,season,Indianapolis Colts,Buffalo Bills,Indianapolis Colts,Buffalo Bills,false
14,Sun 1 Dec 1996,season,New York Jets,Houston Oilers,Houston Oilers,New York Jets,false
14,Sun 1 Dec 1996,season,Minnesota Vikings,Arizona Cardinals,Minnesota Vikings,Arizona Cardinals,false
14,Sun 1 Dec 1996,season,Denver Broncos,Seattle Seahawks,Denver Broncos,Seattle Seahawks,false
14,Mon 2 Dec 1996,season,Atlanta Falcons,San Francisco 49ers,San Francisco 49ers,Atlanta Falcons,false
15,Thu 5 Dec 1996,season,Indianapolis Colts,Philadelphia Eagles,Indianapolis Colts,Philadelphia Eagles,false
15,Sun 8 Dec 1996,season,Tampa Bay Buccaneers,Washington Redskins,Tampa Bay Buccaneers,Washington Redskins,false
15,Sun 8 Dec 1996,season,Pittsburgh Steelers,San Diego Chargers,Pittsburgh Steelers,San Diego Chargers,false
15,Sun 8 Dec 1996,season,New England Patriots,New York Jets,New England Patriots,New York Jets,false
15,Sun 8 Dec 1996,season,San Francisco 49ers,Carolina Panthers,Carolina Panthers,San Francisco 49ers,false
15,Sun 8 Dec 1996,season,Arizona Cardinals,Dallas Cowboys,Dallas Cowboys,Arizona Cardinals,false
15,Sun 8 Dec 1996,season,Green Bay Packers,Denver Broncos,Green Bay Packers,Denver Broncos,false
15,Sun 8 Dec 1996,season,New Orleans Saints,Atlanta Falcons,Atlanta Falcons,New Orleans Saints,false
15,Sun 8 Dec 1996,season,Houston Oilers,Jacksonville Jaguars,Jacksonville Jaguars,Houston Oilers,false
15,Sun 8 Dec 1996,season,Cincinnati Bengals,Baltimore Ravens,Cincinnati Bengals,Baltimore Ravens,false
15,Sun 8 Dec 1996,season,Detroit Lions,Minnesota Vikings,Minnesota Vikings,Detroit Lions,false
15,Sun 8 Dec 1996,season,Seattle Seahawks,Buffalo Bills,Seattle Seahawks,Buffalo Bills,false
15,Sun 8 Dec 1996,season,Chicago Bears,St. Louis Rams,Chicago Bears,St. Louis Rams,false
15,Sun 8 Dec 1996,season,Miami Dolphins,New York Giants,New York Giants,Miami Dolphins,false
15,Mon 9 Dec 1996,season,Oakland Raiders,Kansas City Chiefs,Oakland Raiders,Kansas City Chiefs,false
16,Sat 14 Dec 1996,season,Chicago Bears,San Diego Chargers,Chicago Bears,San Diego Chargers,false
16,Sat 14 Dec 1996,season,New York Jets,Philadelphia Eagles,Philadelphia Eagles,New York Jets,false
16,Sun 15 Dec 1996,season,Dallas Cowboys,New England Patriots,Dallas Cowboys,New England Patriots,false
16,Sun 15 Dec 1996,season,Arizona Cardinals,Washington Redskins,Arizona Cardinals,Washington Redskins,false
16,Sun 15 Dec 1996,season,Carolina Panthers,Baltimore Ravens,Carolina Panthers,Baltimore Ravens,false
16,Sun 15 Dec 1996,season,Kansas City Chiefs,Indianapolis Colts,Indianapolis Colts,Kansas City Chiefs,false
16,Sun 15 Dec 1996,season,Houston Oilers,Cincinnati Bengals,Cincinnati Bengals,Houston Oilers,false
16,Sun 15 Dec 1996,season,Pittsburgh Steelers,San Francisco 49ers,San Francisco 49ers,Pittsburgh Steelers,false
16,Sun 15 Dec 1996,season,Detroit Lions,Green Bay Packers,Green Bay Packers,Detroit Lions,false
16,Sun 15 Dec 1996,season,Denver Broncos,Oakland Raiders,Denver Broncos,Oakland Raiders,false
16,Sun 15 Dec 1996,season,New York Giants,New Orleans Saints,New Orleans Saints,New York Giants,false
16,Sun 15 Dec 1996,season,Minnesota Vikings,Tampa Bay Buccaneers,Minnesota Vikings,Tampa Bay Buccaneers,false
16,Sun 15 Dec 1996,season,Jacksonville Jaguars,Seattle Seahawks,Jacksonville Jaguars,Seattle Seahawks,false
16,Sun 15 Dec 1996,season,Atlanta Falcons,St. Louis Rams,St. Louis Rams,Atlanta Falcons,false
16,Mon 16 Dec 1996,season,Miami Dolphins,Buffalo Bills,Miami Dolphins,Buffalo Bills,false
17,Sat 21 Dec 1996,season,New York Giants,New England Patriots,New England Patriots,New York Giants,false
17,Sat 21 Dec 1996,season,St. Louis Rams,New Orleans Saints,St. Louis Rams,New Orleans Saints,false
17,Sun 22 Dec 1996,season,New York Jets,Miami Dolphins,Miami Dolphins,New York Jets,false
17,Sun 22 Dec 1996,season,Buffalo Bills,Kansas City Chiefs,Buffalo Bills,Kansas City Chiefs,false
17,Sun 22 Dec 1996,season,San Diego Chargers,Denver Broncos,San Diego Chargers,Denver Broncos,false
17,Sun 22 Dec 1996,season,Tampa Bay Buccaneers,Chicago Bears,Tampa Bay Buccaneers,Chicago Bears,false
17,Sun 22 Dec 1996,season,Carolina Panthers,Pittsburgh Steelers,Carolina Panthers,Pittsburgh Steelers,false
17,Sun 22 Dec 1996,season,Philadelphia Eagles,Arizona Cardinals,Philadelphia Eagles,Arizona Cardinals,false
17,Sun 22 Dec 1996,season,Cincinnati Bengals,Indianapolis Colts,Cincinnati Bengals,Indianapolis Colts,false
17,Sun 22 Dec 1996,season,Baltimore Ravens,Houston Oilers,Houston Oilers,Baltimore Ravens,false
17,Sun 22 Dec 1996,season,Washington Redskins,Dallas Cowboys,Washington Redskins,Dallas Cowboys,false
17,Sun 22 Dec 1996,season,Jacksonville Jaguars,Atlanta Falcons,Jacksonville Jaguars,Atlanta Falcons,false
17,Sun 22 Dec 1996,season,Green Bay Packers,Minnesota Vikings,Green Bay Packers,Minnesota Vikings,false
17,Sun 22 Dec 1996,season,Oakland Raiders,Seattle Seahawks,Seattle Seahawks,Oakland Raiders,false
17,Mon 23 Dec 1996,season,San Francisco 49ers,Detroit Lions,San Francisco 49ers,Detroit Lions,false
*,Sat 28 Dec 1996,WildCard,Dallas Cowboys,Minnesota Vikings,Dallas Cowboys,Minnesota Vikings,false
*,Sat 28 Dec 1996,WildCard,Buffalo Bills,Jacksonville Jaguars,Jacksonville Jaguars,Buffalo Bills,false
*,Sun 29 Dec 1996,WildCard,Pittsburgh Steelers,Indianapolis Colts,Pittsburgh Steelers,Indianapolis Colts,false
*,Sun 29 Dec 1996,WildCard,San Francisco 49ers,Philadelphia Eagles,San Francisco 49ers,Philadelphia Eagles,false
*,Thu 4 Jan 1996,Division,Green Bay Packers,San Francisco 49ers,Green Bay Packers,San Francisco 49ers,false
*,Thu 4 Jan 1996,Division,Denver Broncos,Jacksonville Jaguars,Jacksonville Jaguars,Denver Broncos,false
