week,date,game type,home,away,winner,loser,tie
3,Sun 15 Sep 1991,season,Green Bay Packers,Tampa Bay Buccaneers,Green Bay Packers,Tampa Bay Buccaneers,false
3,Sun 15 Sep 1991,season,Detroit Lions,Miami Dolphins,Detroit Lions,Miami Dolphins,false
3,Sun 15 Sep 1991,season,Dallas Cowboys,Philadelphia Eagles,Philadelphia Eagles,Dallas Cowboys,false
3,Sun 15 Sep 1991,season,Denver Broncos,Seattle Seahawks,Denver Broncos,Seattle Seahawks,false
3,Sun 15 Sep 1991,season,Washington Redskins,Phoenix Cardinals,Washington Redskins,Phoenix Cardinals,false
3,Sun 15 Sep 1991,season,New York Jets,Buffalo Bills,Buffalo Bills,New York Jets,false
3,Sun 15 Sep 1991,season,Pittsburgh Steelers,New England Patriots,Pittsburgh Steelers,New England Patriots,false
3,Sun 15 Sep 1991,season,Los Angeles Raiders,Indianapolis Colts,Los Angeles Raiders,Indianapolis Colts,false
3,Sun 15 Sep 1991,season,New Orleans Saints,Los Angeles Rams,New Orleans Saints,Los Angeles Rams,false
3,Sun 15 Sep 1991,season,Minnesota Vikings,San Francisco 49ers,Minnesota Vikings,San Francisco 49ers,false
3,Mon 16 Sep 1991,season,Houston Oilers,Kansas City Chiefs,Houston Oilers,Kansas City Chiefs,false
4,Sun 22 Sep 1991,season,New York Giants,Cleveland Browns,New York Giants,Cleveland Browns,false
4,Sun 22 Sep 1991,season,Indianapolis Colts,Detroit Lions,Detroit Lions,Indianapolis Colts,false
4,Sun 22 Sep 1991,season,Tampa Bay Buccaneers,Buffalo Bills,Buffalo Bills,Tampa Bay Buccaneers,false
4,Sun 22 Sep 1991,season,San Francisco 49ers,Los Angeles Rams,San Francisco 49ers,Los Angeles Rams,false
4,Sun 22 Sep 1991,season,New Orleans Saints,Minnesota Vikings,New Orleans Saints,Minnesota Vikings,false
4,Sun 22 Sep 1991,season,Denver Broncos,San Diego Chargers,Denver Broncos,San Diego Chargers,false
4,Sun 22 Sep 1991,season,New England Patriots,Houston Oilers,New England Patriots,Houston Oilers,false
4,Sun 22 Sep 1991,season,Cincinnati Bengals,Washington Redskins,Washington Redskins,Cincinnati Bengals,false
4,Sun 22 Sep 1991,season,Phoenix Cardinals,Dallas Cowboys,Dallas Cowboys,Phoenix Cardinals,false
4,Sun 22 Sep 1991,season,Miami Dolphins,Green Bay Packers,Miami Dolphins,Green Bay Packers,false
4,Sun 22 Sep 1991,season,Atlanta Falcons,Los Angeles Raiders,Atlanta Falcons,Los Angeles Raiders,false
4,Sun 22 Sep 1991,season,Philadelphia Eagles,Pittsburgh Steelers,Philadelphia Eagles,Pittsburgh Steelers,false
4,Sun 22 Sep 1991,season,Kansas City Chiefs,Seattle Seahawks,Kansas City Chiefs,Seattle Seahawks,false
4,Mon 23 Sep 1991,season,Chicago Bears,New York Jets,Chicago Bears,New York Jets,false
5,Sun 29 Sep 1991,season,Phoenix Cardinals,New England Patriots,Phoenix Cardinals,New England Patriots,false
5,Sun 29 Sep 1991,season,Los Angeles Rams,Green Bay Packers,Los Angeles Rams,Green Bay Packers,false
5,Sun 29 Sep 1991,season,Dallas Cowboys,New York Giants,Dallas Cowboys,New York Giants,false
5,Sun 29 Sep 1991,season,Seattle Seahawks,Indianapolis Colts,Seattle Seahawks,Indianapolis Colts,false
5,Sun 29 Sep 1991,season,Los Angeles Raiders,San Francisco 49ers,Los Angeles Raiders,San Francisco 49ers,false
5,Sun 29 Sep 1991,season,Atlanta Falcons,New Orleans Saints,New Orleans Saints,Atlanta Falcons,false
5,Sun 29 Sep 1991,season,Minnesota Vikings,Denver Broncos,Denver Broncos,Minnesota Vikings,false
5,Sun 29 Sep 1991,season,New York Jets,Miami Dolphins,New York Jets,Miami Dolphins,false
5,Sun 29 Sep 1991,season,San Diego Chargers,Kansas City Chiefs,Kansas City Chiefs,San Diego Chargers,false
5,Sun 29 Sep 1991,season,Detroit Lions,Tampa Bay Buccaneers,Detroit Lions,Tampa Bay Buccaneers,false
5,Sun 29 Sep 1991,season,Buffalo Bills,Chicago Bears,Buffalo Bills,Chicago Bears,false
5,Mon 30 Sep 1991,season,Washington Redskins,Philadelphia Eagles,Washington Redskins,Philadelphia Eagles,false
6,Sun 6 Oct 1991,season,Cincinnati Bengals,Seattle Seahawks,Seattle Seahawks,Cincinnati Bengals,false
6,Sun 6 Oct 1991,season,Cleveland Browns,New York Jets,New York Jets,Cleveland Browns,false
6,Sun 6 Oct 1991,season,Indianapolis Colts,Pittsburgh Steelers,Pittsburgh Steelers,Indianapolis Colts,false
6,Sun 6 Oct 1991,season,New York Giants,Phoenix Cardinals,New York Giants,Phoenix Cardinals,false
6,Sun 6 Oct 1991,season,Green Bay Packers,Dallas Cowboys,Dallas Cowboys,Green Bay Packers,false
6,Sun 6 Oct 1991,season,Detroit Lions,Minnesota Vikings,Detroit Lions,Minnesota Vikings,false
6,Sun 6 Oct 1991,season,New England Patriots,Miami Dolphins,Miami Dolphins,New England Patriots,false
6,Sun 6 Oct 1991,season,Houston Oilers,Denver Broncos,Houston Oilers,Denver Broncos,false
6,Sun 6 Oct 1991,season,Chicago Bears,Washington Redskins,Washington Redskins,Chicago Bears,false
6,Sun 6 Oct 1991,season,Tampa Bay Buccaneers,Philadelphia Eagles,Tampa Bay Buccaneers,Philadelphia Eagles,false
6,Sun 6 Oct 1991,season,Los Angeles Raiders,San Diego Chargers,San Diego Chargers,Los Angeles Raiders,false
6,Mon 7 Oct 1991,season,Kansas City Chiefs,Buffalo Bills,Kansas City Chiefs,Buffalo Bills,false
7,Sun 13 Oct 1991,season,Dallas Cowboys,Cincinnati Bengals,Dallas Cowboys,Cincinnati Bengals,false
7,Sun 13 Oct 1991,season,Washington Redskins,Cleveland Browns,Washington Redskins,Cleveland Browns,false
7,Sun 13 Oct 1991,season,Los Angeles Rams,San Diego Chargers,Los Angeles Rams,San Diego Chargers,false
7,Sun 13 Oct 1991,season,Philadelphia Eagles,New Orleans Saints,New Orleans Saints,Philadelphia Eagles,false
7,Sun 13 Oct 1991,season,San Francisco 49ers,Atlanta Falcons,Atlanta Falcons,San Francisco 49ers,false
7,Sun 13 Oct 1991,season,Seattle Seahawks,Los Angeles Raiders,Los Angeles Raiders,Seattle Seahawks,false
7,Sun 13 Oct 1991,season,New York Jets,Houston Oilers,Houston Oilers,New York Jets,false
7,Sun 13 Oct 1991,season,Minnesota Vikings,Phoenix Cardinals,Minnesota Vikings,Phoenix Cardinals,false
7,Sun 13 Oct 1991,season,Kansas City Chiefs,Miami Dolphins,Kansas City Chiefs,Miami Dolphins,false
7,Sun 13 Oct 1991,season,Buffalo Bills,Indianapolis Colts,Buffalo Bills,Indianapolis Colts,false
7,Mon 14 Oct 1991,season,Pittsburgh Steelers,New York Giants,New York Giants,Pittsburgh Steelers,false
8,Thu 17 Oct 1991,season,Green Bay Packers,Chicago Bears,Chicago Bears,Green Bay Packers,false
8,Sun 20 Oct 1991,season,New Orleans Saints,Tampa Bay Buccaneers,New Orleans Saints,Tampa Bay Buccaneers,false
8,Sun 20 Oct 1991,season,San Francisco 49ers,Detroit Lions,San Francisco 49ers,Detroit Lions,false
8,Sun 20 Oct 1991,season,Phoenix Cardinals,Atlanta Falcons,Phoenix Cardinals,Atlanta Falcons,false
8,Sun 20 Oct 1991,season,Denver Broncos,Kansas City Chiefs,Denver Broncos,Kansas City Chiefs,false
8,Sun 20 Oct 1991,season,Pittsburgh Steelers,Seattle Seahawks,Seattle Seahawks,Pittsburgh Steelers,false
8,Sun 20 Oct 1991,season,San Diego Chargers,Cleveland Browns,Cleveland Browns,San Diego Chargers,false
8,Sun 20 Oct 1991,season,Los Angeles Raiders,Los Angeles Rams,Los Angeles Raiders,Los Angeles Rams,false
8,Sun 20 Oct 1991,season,New England Patriots,Minnesota Vikings,New England Patriots,Minnesota Vikings,false
8,Sun 20 Oct 1991,season,Miami Dolphins,Houston Oilers,Houston Oilers,Miami Dolphins,false
8,Sun 20 Oct 1991,season,Indianapolis Colts,New York Jets,New York Jets,Indianapolis Colts,false
8,Mon 21 Oct 1991,season,Buffalo Bills,Cincinnati Bengals,Buffalo Bills,Cincinnati Bengals,false
9,Sun 27 Oct 1991,season,Detroit Lions,Dallas Cowboys,Detroit Lions,Dallas Cowboys,false
9,Sun 27 Oct 1991,season,New England Patriots,Denver Broncos,Denver Broncos,New England Patriots,false
9,Sun 27 Oct 1991,season,New York Giants,Washington Redskins,Washington Redskins,New York Giants,false
9,Sun 27 Oct 1991,season,Houston Oilers,Cincinnati Bengals,Houston Oilers,Cincinnati Bengals,false
9,Sun 27 Oct 1991,season,Cleveland Browns,Pittsburgh Steelers,Cleveland Browns,Pittsburgh Steelers,false
9,Sun 27 Oct 1991,season,New Orleans Saints,Chicago Bears,Chicago Bears,New Orleans Saints,false
9,Sun 27 Oct 1991,season,Atlanta Falcons,Los Angeles Rams,Atlanta Falcons,Los Angeles Rams,false
9,Sun 27 Oct 1991,season,Philadelphia Eagles,San Francisco 49ers,San Francisco 49ers,Philadelphia Eagles,false
9,Sun 27 Oct 1991,season,Tampa Bay Buccaneers,Green Bay Packers,Green Bay Packers,Tampa Bay Buccaneers,false
9,Sun 27 Oct 1991,season,Phoenix Cardinals,Minnesota Vikings,Minnesota Vikings,Phoenix Cardinals,false
9,Sun 27 Oct 1991,season,Seattle Seahawks,San Diego Chargers,Seattle Seahawks,San Diego Chargers,false
9,Mon 28 Oct 1991,season,Kansas City Chiefs,Los Angeles Raiders,Kansas City Chiefs,Los Angeles Raiders,false
10,Sun 3 Nov 1991,season,New York Jets,Green Bay Packers,New York Jets,Green Bay Packers,false
10,Sun 3 Nov 1991,season,Denver Broncos,Pittsburgh Steelers,Denver Broncos,Pittsburgh Steelers,false
10,Sun 3 Nov 1991,season,Buffalo Bills,New England Patriots,Buffalo Bills,New England Patriots,false
10,Sun 3 Nov 1991,season,Los Angeles Rams,New Orleans Saints,New Orleans Saints,Los Angeles Rams,false
10,Sun 3 Nov 1991,season,Atlanta Falcons,San Francisco 49ers,Atlanta Falcons,San Francisco 49ers,false
10,Sun 3 Nov 1991,season,Indianapolis Colts,Miami Dolphins,Miami Dolphins,Indianapolis Colts,false
10,Sun 3 Nov 1991,season,Washington Redskins,Houston Oilers,Washington Redskins,Houston Oilers,false
10,Sun 3 Nov 1991,season,Chicago Bears,Detroit Lions,Chicago Bears,Detroit Lions,false
10,Sun 3 Nov 1991,season,Cincinnati Bengals,Cleveland Browns,Cincinnati Bengals,Cleveland Browns,false
10,Sun 3 Nov 1991,season,Minnesota Vikings,Tampa Bay Buccaneers,Minnesota Vikings,Tampa Bay Buccaneers,false
10,Sun 3 Nov 1991,season,Dallas Cowboys,Phoenix Cardinals,Dallas Cowboys,Phoenix Cardinals,false
10,Mon 4 Nov 1991,season,Philadelphia Eagles,New York Giants,Philadelphia Eagles,New York Giants,false
11,Sun 10 Nov 1991,season,San Diego Chargers,Seattle Seahawks,San Diego Chargers,Seattle Seahawks,false
11,Sun 10 Nov 1991,season,Cincinnati Bengals,Pittsburgh Steelers,Pittsburgh Steelers,Cincinnati Bengals,false
11,Sun 10 Nov 1991,season,Denver Broncos,Los Angeles Raiders,Los Angeles Raiders,Denver Broncos,false
11,Sun 10 Nov 1991,season,Tampa Bay Buccaneers,Detroit Lions,Tampa Bay Buccaneers,Detroit Lions,false
11,Sun 10 Nov 1991,season,Houston Oilers,Dallas Cowboys,Houston Oilers,Dallas Cowboys,false
11,Sun 10 Nov 1991,season,Miami Dolphins,New England Patriots,Miami Dolphins,New England Patriots,false
11,Sun 10 Nov 1991,season,Washington Redskins,Atlanta Falcons,Washington Redskins,Atlanta Falcons,false
11,Sun 10 Nov 1991,season,Los Angeles Rams,Kansas City Chiefs,Kansas City Chiefs,Los Angeles Rams,false
11,Sun 10 Nov 1991,season,New York Jets,Indianapolis Colts,Indianapolis Colts,New York Jets,false
11,Sun 10 Nov 1991,season,New Orleans Saints,San Francisco 49ers,New Orleans Saints,San Francisco 49ers,false
11,Sun 10 Nov 1991,season,Green Bay Packers,Buffalo Bills,Buffalo Bills,Green Bay Packers,false
11,Sun 10 Nov 1991,season,Cleveland Browns,Philadelphia Eagles,Philadelphia Eagles,Cleveland Browns,false
11,Sun 10 Nov 1991,season,Phoenix Cardinals,New York Giants,New York Giants,Phoenix Cardinals,false
11,Mon 11 Nov 1991,season,Minnesota Vikings,Chicago Bears,Chicago Bears,Minnesota Vikings,false
12,Sun 17 Nov 1991,season,Green Bay Packers,Minnesota Vikings,Minnesota Vikings,Green Bay Packers,false
12,Sun 17 Nov 1991,season,Indianapolis Colts,Chicago Bears,Chicago Bears,Indianapolis Colts,false
12,Sun 17 Nov 1991,season,Detroit Lions,Los Angeles Rams,Detroit Lions,Los Angeles Rams,false
12,Sun 17 Nov 1991,season,New England Patriots,New York Jets,New York Jets,New England Patriots,false
12,Sun 17 Nov 1991,season,Kansas City Chiefs,Denver Broncos,Denver Broncos,Kansas City Chiefs,false
12,Sun 17 Nov 1991,season,Houston Oilers,Cleveland Browns,Houston Oilers,Cleveland Browns,false
12,Sun 17 Nov 1991,season,New York Giants,Dallas Cowboys,New York Giants,Dallas Cowboys,false
12,Sun 17 Nov 1991,season,San Diego Chargers,New Orleans Saints,San Diego Chargers,New Orleans Saints,false
12,Sun 17 Nov 1991,season,Philadelphia Eagles,Cincinnati Bengals,Philadelphia Eagles,Cincinnati Bengals,false
12,Sun 17 Nov 1991,season,Atlanta Falcons,Tampa Bay Buccaneers,Atlanta Falcons,Tampa Bay Buccaneers,false
12,Sun 17 Nov 1991,season,Pittsburgh Steelers,Washington Redskins,Washington Redskins,Pittsburgh Steelers,false
12,Sun 17 Nov 1991,season,Los Angeles Raiders,Seattle Seahawks,Los Angeles Raiders,Seattle Seahawks,false
12,Sun 17 Nov 1991,season,San Francisco 49ers,Phoenix Cardinals,San Francisco 49ers,Phoenix Cardinals,false
12,Mon 18 Nov 1991,season,Miami Dolphins,Buffalo Bills,Buffalo Bills,Miami Dolphins,false
13,Sun 24 Nov 1991,season,Tampa Bay Buccaneers,New York Giants,New York Giants,Tampa Bay Buccaneers,false
13,Sun 24 Nov 1991,season,Pittsburgh Steelers,Houston Oilers,Pittsburgh Steelers,Houston Oilers,false
13,Sun 24 Nov 1991,season,New Orleans Saints,Atlanta Falcons,Atlanta Falcons,New Orleans Saints,false
13,Sun 24 Nov 1991,season,Cleveland Browns,Kansas City Chiefs,Cleveland Browns,Kansas City Chiefs,false
13,Sun 24 Nov 1991,season,Washington Redskins,Dallas Cowboys,Dallas Cowboys,Washington Redskins,false
13,Sun 24 Nov 1991,season,Cincinnati Bengals,Los Angeles Raiders,Los Angeles Raiders,Cincinnati Bengals,false
13,Sun 24 Nov 1991,season,New York Jets,San Diego Chargers,New York Jets,San Diego Chargers,false
13,Sun 24 Nov 1991,season,New England Patriots,Buffalo Bills,New England Patriots,Buffalo Bills,false
13,Sun 24 Nov 1991,season,Green Bay Packers,Indianapolis Colts,Green Bay Packers,Indianapolis Colts,false
13,Sun 24 Nov 1991,season,Seattle Seahawks,Denver Broncos,Seattle Seahawks,Denver Broncos,false
13,Sun 24 Nov 1991,season,Chicago Bears,Miami Dolphins,Miami Dolphins,Chicago Bears,false
13,Sun 24 Nov 1991,season,Minnesota Vikings,Detroit Lions,Detroit Lions,Minnesota Vikings,false
13,Sun 24 Nov 1991,season,Phoenix Cardinals,Philadelphia Eagles,Philadelphia Eagles,Phoenix Cardinals,false
13,Mon 25 Nov 1991,season,Los Angeles Rams,San Francisco 49ers,San Francisco 49ers,Los Angeles Rams,false
14,Thu 28 Nov 1991,season,Dallas Cowboys,Pittsburgh Steelers,Dallas Cowboys,Pittsburgh Steelers,false
14,Thu 28 Nov 1991,season,Detroit Lions,Chicago Bears,Detroit Lions,Chicago Bears,false
14,Sun 1 Dec 1991,season,Los Angeles Rams,Washington Redskins,Washington Redskins,Los Angeles Rams,false
14,Sun 1 Dec 1991,season,Cincinnati Bengals,New York Giants,Cincinnati Bengals,New York Giants,false
14,Sun 1 Dec 1991,season,Atlanta Falcons,Green Bay Packers,Atlanta Falcons,Green Bay Packers,false
14,Sun 1 Dec 1991,season,Indianapolis Colts,Cleveland Browns,Cleveland Browns,Indianapolis Colts,false
14,Sun 1 Dec 1991,season,San Francisco 49ers,New Orleans Saints,San Francisco 49ers,New Orleans Saints,false
14,Sun 1 Dec 1991,season,Seattle Seahawks,Kansas City Chiefs,Kansas City Chiefs,Seattle Seahawks,false
14,Sun 1 Dec 1991,season,Buffalo Bills,New York Jets,Buffalo Bills,New York Jets,false
14,Sun 1 Dec 1991,season,San Diego Chargers,Los Angeles Raiders,Los Angeles Raiders,San Diego Chargers,false
14,Sun 1 Dec 1991,season,Miami Dolphins,Tampa Bay Buccaneers,Miami Dolphins,Tampa Bay Buccaneers,false
14,Sun 1 Dec 1991,season,Denver Broncos,New England Patriots,Denver Broncos,New England Patriots,false
14,Mon 2 Dec 1991,season,Houston Oilers,Philadelphia Eagles,Philadelphia Eagles,Houston Oilers,false
15,Sun 8 Dec 1991,season,Seattle Seahawks,San Francisco 49ers,San Francisco 49ers,Seattle Seahawks,false
15,Sun 8 Dec 1991,season,New York Giants,Philadelphia Eagles,Philadelphia Eagles,New York Giants,false
15,Sun 8 Dec 1991,season,Los Angeles Rams,Atlanta Falcons,Atlanta Falcons,Los Angeles Rams,false
15,Sun 8 Dec 1991,season,Los Angeles Raiders,Buffalo Bills,Buffalo Bills,Los Angeles Raiders,false
15,Sun 8 Dec 1991,season,Cleveland Browns,Denver Broncos,Denver Broncos,Cleveland Browns,false
15,Sun 8 Dec 1991,season,Houston Oilers,Pittsburgh Steelers,Houston Oilers,Pittsburgh Steelers,false
15,Sun 8 Dec 1991,season,Chicago Bears,Green Bay Packers,Chicago Bears,Green Bay Packers,false
15,Sun 8 Dec 1991,season,Dallas Cowboys,New Orleans Saints,Dallas Cowboys,New Orleans Saints,false
15,Sun 8 Dec 1991,season,Detroit Lions,New York Jets,Detroit Lions,New York Jets,false
15,Sun 8 Dec 1991,season,Kansas City Chiefs,San Diego Chargers,Kansas City Chiefs,San Diego Chargers,false
15,Sun 8 Dec 1991,season,New England Patriots,Indianapolis Colts,New England Patriots,Indianapolis Colts,false
15,Sun 8 Dec 1991,season,Phoenix Cardinals,Washington Redskins,Washington Redskins,Phoenix Cardinals,false
15,Sun 8 Dec 1991,season,Tampa Bay Buccaneers,Minnesota Vikings,Minnesota Vikings,Tampa Bay Buccaneers,false
15,Mon 9 Dec 1991,season,Miami Dolphins,Cincinnati Bengals,Miami Dolphins,Cincinnati Bengals,false
16,Sat 14 Dec 1991,season,San Francisco 49ers,Kansas City Chiefs,San Francisco 49ers,Kansas City Chiefs,false
16,Sat 14 Dec 1991,season,Chicago Bears,Tampa Bay Buccaneers,Chicago Bears,Tampa Bay Buccaneers,false
16,Sun 15 Dec 1991,season,Atlanta Falcons,Seattle Seahawks,Atlanta Falcons,Seattle Seahawks,false
16,Sun 15 Dec 1991,season,San Diego Chargers,Miami Dolphins,San Diego Chargers,Miami Dolphins,false
16,Sun 15 Dec 1991,season,Washington Redskins,New York Giants,Washington Redskins,New York Giants,false
16,Sun 15 Dec 1991,season,Indianapolis Colts,Buffalo Bills,Buffalo Bills,Indianapolis Colts,false
16,Sun 15 Dec 1991,season,Pittsburgh Steelers,Cincinnati Bengals,Pittsburgh Steelers,Cincinnati Bengals,false
16,Sun 15 Dec 1991,season,Denver Broncos,Phoenix Cardinals,Denver Broncos,Phoenix Cardinals,false
16,Sun 15 Dec 1991,season,Green Bay Packers,Detroit Lions,Detroit Lions,Green Bay Packers,false
16,Sun 15 Dec 1991,season,New York Jets,New England Patriots,New England Patriots,New York Jets,false
16,Sun 15 Dec 1991,season,Cleveland Browns,Houston Oilers,Houston Oilers,Cleveland Browns,false
16,Sun 15 Dec 1991,season,Philadelphia Eagles,Dallas Cowboys,Dallas Cowboys,Philadelphia Eagles,false
16,Sun 15 Dec 1991,season,Minnesota Vikings,Los Angeles Rams,Minnesota Vikings,Los Angeles Rams,false
16,Mon 16 Dec 1991,season,New Orleans Saints,Los Angeles Raiders,New Orleans Saints,Los Angeles Raiders,false
17,Sat 21 Dec 1991,season,Minnesota Vikings,Green Bay Packers,Green Bay Packers,Minnesota Vikings,false
17,Sat 21 Dec 1991,season,New York Giants,Houston Oilers,New York Giants,Houston Oilers,false
17,Sun 22 Dec 1991,season,Dallas Cowboys,Atlanta Falcons,Dallas Cowboys,Atlanta Falcons,false
17,Sun 22 Dec 1991,season,Los Angeles Raiders,Kansas City Chiefs,Kansas City Chiefs,Los Angeles Raiders,false
17,Sun 22 Dec 1991,season,Seattle Seahawks,Los Angeles Rams,Seattle Seahawks,Los Angeles Rams,false
17,Sun 22 Dec 1991,season,Buffalo Bills,Detroit Lions,Detroit Lions,Buffalo Bills,false
17,Sun 22 Dec 1991,season,Pittsburgh Steelers,Cleveland Browns,Pittsburgh Steelers,Cleveland Browns,false
17,Sun 22 Dec 1991,season,Tampa Bay Buccaneers,Indianapolis Colts,Tampa Bay Buccaneers,Indianapolis Colts,false
17,Sun 22 Dec 1991,season,Phoenix Cardinals,New Orleans Saints,New Orleans Saints,Phoenix Cardinals,false
17,Sun 22 Dec 1991,season,San Diego Chargers,Denver Broncos,Denver Broncos,San Diego Chargers,false
17,Sun 22 Dec 1991,season,Philadelphia Eagles,Washington Redskins,Philadelphia Eagles,Washington Redskins,false
17,Sun 22 Dec 1991,season,Cincinnati Bengals,New England Patriots,Cincinnati Bengals,New England Patriots,false
17,Sun 22 Dec 1991,season,Miami Dolphins,New York Jets,New York Jets,Miami Dolphins,false
17,Mon 23 Dec 1991,season,San Francisco 49ers,Chicago Bears,San Francisco 49ers,Chicago Bears,false
*,Sat 28 Dec 1991,WildCard,New Orleans Saints,Atlanta Falcons,Atlanta Falcons,New Orleans Saints,false
*,Sat 28 Dec 1991,WildCard,Kansas City Chiefs,Los Angeles Raiders,Kansas City Chiefs,Los Angeles Raiders,false
*,Sun 29 Dec 1991,WildCard,Houston Oilers,New York Jets,Houston Oilers,New York Jets,false
*,Sun 29 Dec 1991,WildCard,Chicago Bears,Dallas Cowboys,Dallas Cowboys,Chicago Bears,false
*,Fri 4 Jan 1991,Division,Denver Broncos,Houston Oilers,Denver Broncos,Houston Oilers,false
*,Fri 4 Jan 1991,Division,Washington Redskins,Atlanta Falcons,Washington Redskins,Atlanta Falcons,false
*,Sat 5 Jan 1991,Division,Buffalo Bills,Kansas City Chiefs,Buffalo Bills,Kansas City Chiefs,false
*,Sat 5 Jan 1991,Division,Detroit Lions,Dallas Cowboys,Detroit Lions,Dallas Cowboys,false
*,Sat 12 Jan 1991,ConfChamp,Washington Redskins,Detroit Lions,Washington Redskins,Detroit Lions,false
*,Sat 12 Jan 1991,ConfChamp,Buffalo Bills,Denver Broncos,Buffalo Bills,Denver Broncos,false
*,Sat 26 Jan 1991,SuperBowl,Washington Redskins,Buffalo Bills,Washington Redskins,Buffalo Bills,false
